Label	Weight	Text
l_HomeAutomation	1	turn on kitchen faucet
l_HomeAutomation	1	decrease temperature for me please
l_HomeAutomation	1	turn on the internet in my bedroom please
l_HomeAutomation	1	fish pond off please
l_HomeAutomation	1	turn on thermostat please
l_HomeAutomation	1	turn off staircase
l_HomeAutomation	1	theater on please
l_HomeAutomation	1	turn thermostat on 70.
l_HomeAutomation	1	coffee bar on please
l_HomeAutomation	1	dim kitchen lights to 25 .
l_HomeAutomation	1	fish pond on please
l_HomeAutomation	1	snap switch fan fifty percent
l_HomeAutomation	1	turn off venice lamp
l_HomeAutomation	1	set lights out in bedroom
l_HomeAutomation	1	make some coffee
l_HomeAutomation	1	turn off foyer lights
l_HomeAutomation	1	turn the fan to high
l_HomeAutomation	1	turn on bathroom heater
l_HomeAutomation	1	make camera 1 off please
l_HomeAutomation	1	living room lamp on please
l_HomeAutomation	1	change temperature to seventy two degrees
l_HomeAutomation	1	living room lamps off please
l_HomeAutomation	1	turn on external speaker
l_HomeAutomation	1	turn on light in bedroom
l_HomeAutomation	1	lock the doors for me please
l_HomeAutomation	1	lower your volume
l_HomeAutomation	1	start master bedroom light.
l_HomeAutomation	1	turn off living room light
l_HomeAutomation	1	shut down my work computer
l_HomeAutomation	1	turn on the furnace room lights
l_Weather	1	forecast in celcius
l_Weather	1	will it snow today
l_Weather	1	temperature of delhi in celsius please
l_Weather	1	what will the weather be tomorrow in new york
l_Weather	1	what's the weather going to be like in hawaii
l_Weather	1	will it be raining in ranchi
l_Weather	1	soliciting today's weather
l_Weather	1	will it rain this weekend
l_Weather	1	what to wear in march in california
l_Weather	1	what's the weather like in minneapolis
l_Weather	1	get florence temperature in september
l_Weather	1	get the daily temperature greenwood indiana
l_Weather	1	do florida residents usually need ice scrapers
l_Weather	1	show me the forecast at alabama
l_Weather	1	get the forcast for me
l_Weather	1	was last year about this time as wet as it is now in the south
l_Weather	1	i want to know the temperature at death valley
l_Weather	1	what is the weather today at 10 day durham
l_Weather	1	show average rainfall for boise
l_Weather	1	get the weather at saint george utah
l_Weather	1	provide me by toronto weather please
q_jay-qna	1	Hi there Google
q_jay-qna	1	Are you having a good day so far
q_jay-qna	1	You are so bad at this
q_jay-qna	1	Who coded you
q_jay-qna	1	I love ponies
q_jay-qna	1	I'd like to be your bud.
q_jay-qna	1	How's your Saturday going so far
q_jay-qna	1	How was your Friday
q_jay-qna	1	You do not know anything
q_jay-qna	1	Tell me a joke
q_jay-qna	1	You're pretty smart
q_jay-qna	1	Who's in charge of you
q_jay-qna	1	What do you want to know about
q_jay-qna	1	Greetings Google
q_jay-qna	1	Is anybody available to speak to me
q_jay-qna	1	Do you wish to conquer the world
q_jay-qna	1	Is someone free to chat to me
q_jay-qna	1	Hello C-3PO
q_jay-qna	1	I'm hangry
q_jay-qna	1	Are you there to chat with me
q_jay-qna	1	Can I get a fist bump
q_jay-qna	1	what the heck does that mean
q_jay-qna	1	What do you like
q_jay-qna	1	Is there anyone who tells you what to do
q_jay-qna	1	I don't think I know what you're talking about
q_jay-qna	1	Can you show me how to go to the moon
q_jay-qna	1	Are we going to get married
q_jay-qna	1	You realize you're repeating yourself
q_jay-qna	1	Anybody around to talk to me
q_jay-qna	1	You are funny
q_jay-qna	1	Do a barrel roll
q_jay-qna	1	Do you have a grudge against humans
q_jay-qna	1	I'm going to scoot
q_jay-qna	1	Can you find the remote
q_jay-qna	1	Who is your mom
q_jay-qna	1	Alexa does a better job at this
q_jay-qna	1	I'm a librarian
q_jay-qna	1	Do you think I look beautiful to you
q_jay-qna	1	What's my job
q_jay-qna	1	You are my best friend
q_jay-qna	1	I'm in a phone queue
q_jay-qna	1	Do you even know who I am
q_jay-qna	1	You're going to have to look for another job. You are fired!
q_jay-qna	1	That joke is awful
q_jay-qna	1	I think you're real
q_jay-qna	1	I'd like you to be my pal.
q_jay-qna	1	Between the two of us who is better looking
q_jay-qna	1	Is anyone there to speak with me
q_jay-qna	1	Could you like me
q_jay-qna	1	I'm beat
q_jay-qna	1	I was so bored my eyes glazed over
q_jay-qna	1	What did I do to make you angry
q_jay-qna	1	I don't think you're very funny
q_jay-qna	1	I love feeling happy
q_jay-qna	1	Are you currently going out with anyone
